timestamp_utc,node_id,site,subsite,exposure,environment,latitude,longitude,no2_high_met_one_ug_m3,pm2_5_high_met_one_ug_m3
2025-04-16T00:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.8,4.0
2025-04-16T00:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.8,4.0
2025-04-16T00:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.5,4.0
2025-04-16T00:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.2,4.0
2025-04-16T01:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.2,4.0
2025-04-16T01:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.3,4.0
2025-04-16T01:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.5,4.0
2025-04-16T01:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,0.9,4.0
2025-04-16T02:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.6,3.0
2025-04-16T02:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.7,3.0
2025-04-16T02:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.6,3.0
2025-04-16T02:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.2,3.0
2025-04-16T03:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.6,3.0
2025-04-16T03:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.8,3.0
2025-04-16T03:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.6,3.0
2025-04-16T03:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.5,3.0
2025-04-16T04:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.2,6.0
2025-04-16T04:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.9,6.0
2025-04-16T04:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.7,6.0
2025-04-16T04:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.9,6.0
2025-04-16T05:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.7,3.0
2025-04-16T05:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.0,3.0
2025-04-16T05:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.8,3.0
2025-04-16T05:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.3,3.0
2025-04-16T06:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.9,2.0
2025-04-16T06:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.8,2.0
2025-04-16T06:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.0,2.0
2025-04-16T06:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.9,2.0
2025-04-16T07:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.5,2.0
2025-04-16T07:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.5,2.0
2025-04-16T07:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.5,2.0
2025-04-16T07:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.8,2.0
2025-04-16T08:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.9,0.0
2025-04-16T08:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.0,0.0
2025-04-16T08:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,8.0,0.0
2025-04-16T08:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.5,0.0
2025-04-16T09:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.0,4.0
2025-04-16T09:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.0,4.0
2025-04-16T09:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.6,4.0
2025-04-16T09:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.3,4.0
2025-04-16T10:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.3,4.0
2025-04-16T10:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.7,4.0
2025-04-16T10:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.6,4.0
2025-04-16T10:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.8,4.0
2025-04-16T11:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,8.8,3.0
2025-04-16T11:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,6.6,3.0
2025-04-16T11:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.1,3.0
2025-04-16T11:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.9,3.0
2025-04-16T12:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.1,2.0
2025-04-16T12:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.7,2.0
2025-04-16T12:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.0,2.0
2025-04-16T12:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.2,2.0
2025-04-16T13:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.8,6.0
