node,gas,ml_model,ml_config,ml_label,ml_val_RMSE,ols_val_RMSE,ols_vs_ml_val_pct,rows_comparable,method_selected,label_selected,ml_R2_test,ols_R2_test,R2_test_selected,n_val,val_start,val_end,test_basis
3,CO,XGBoost,B,XGB-B,48.98998130105405,64.13624179062887,30.91705709479202,True,ML,XGB-B,0.7918024765236453,0.6464039945137124,0.7918024765236453,4352,2025-09-14 03:45:00+00:00,2025-10-31 00:00:00+00:00,single_basis_metrics intersection/test (E4)
3,NO2,LightGBM,C,LGBM-C,8.664775997006366,9.032657114489558,4.2457083438774745,True,ML,LGBM-C,0.2271378666580848,0.3304278419353782,0.2271378666580848,4525,2025-09-12 18:30:00+00:00,2025-10-31 00:00:00+00:00,single_basis_metrics intersection/test (E4)
3,NO2_alpha,LightGBM,B,LGBM-B,9.882193082794188,9.708085647149993,-1.7618299317317954,True,OLS,OLS + T/RH,-0.40381560032245,-0.1580020602804388,-0.1580020602804388,4203,2025-09-14 20:00:00+00:00,2025-10-31 00:00:00+00:00,single_basis_metrics intersection/test (E4)
3,O3,RF,B,RF-B,17.352049760817568,27.737497421857704,59.85141700372123,True,ML,RF-B,-0.0028917042280973,-0.6116249217663752,-0.0028917042280973,4352,2025-09-14 03:45:00+00:00,2025-10-31 00:00:00+00:00,single_basis_metrics intersection/test (E4)
3,PM2.5,XGBoost,B,XGB-B,2.8219522012728904,2.956253607346777,4.759166580259855,True,ML,XGB-B,0.7399287183288143,0.7796317444868134,0.7399287183288143,4212,2025-08-31 10:00:00+00:00,2025-10-31 00:00:00+00:00,single_basis_metrics intersection/test (E4)
5,CO,RF,A,RF-A,57.18158829580109,123.87377767621516,116.63227861984966,True,ML,RF-A,0.576615607843973,0.0881757203520507,0.576615607843973,3348,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,single_basis_metrics intersection/test (E4)
5,NO2,XGBoost,B,XGB-B,7.335333387544422,10.417680956880927,42.02055184799658,True,ML,XGB-B,0.3728387707331809,0.1826826373185927,0.3728387707331809,3394,2025-08-07 22:00:00+00:00,2025-10-11 05:45:00+00:00,single_basis_metrics intersection/test (E4)
5,NO2_alpha,LSTM,C,LSTM-C,6.377352623120884,8.201047919937862,28.59643185175664,False,ML,LSTM-C,-0.3923815095386898,-0.9087996037155968,-0.3923815095386898,3882,2025-08-19 10:45:00+00:00,2025-10-11 05:45:00+00:00,single_basis_metrics intersection/test (E4)
5,O3,LSTM,A,LSTM-A,17.295692294396463,34.210577328447805,97.79825372778804,False,ML,LSTM-A,-2.102967115287841,-76.99123753842638,-2.102967115287841,3348,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,single_basis_metrics intersection/test (E4)
5,PM2.5,RF,C,RF-C,2.435444910179476,2.380455784290739,-2.2578677784456547,True,OLS,OLS + T/RH,0.579821674411464,0.5728851220317719,0.5728851220317719,3778,2025-08-19 20:30:00+00:00,2025-10-11 05:45:00+00:00,single_basis_metrics intersection/test (E4)
