gas,direction,source_node,dest_node,ols_features,R2_source,n_source_test,R2_dest_transferred,RMSE_dest_transferred,n_dest_test,R2_dest_local,n_dest_local,delta_R2,gap_to_local,period,basis
PM2.5,3->5,3,5,pm2_5_low_sps30_ug_m3+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.7796317444868134,6144,0.56782233729167,3.913899823128046,3703,0.5728692755903838,3703,-0.2118094071951434,-0.005046938298713832,test,own valid rows of the OLS features and the reference
CO,3->5,3,5,ratio_CO+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.6470286692044525,6328,-0.3993460071950874,85.4591995392535,7836,0.11024386441240097,7836,-1.0463746763995398,-0.5095898716074884,test,own valid rows of the OLS features and the reference
NO2,3->5,3,5,ratio_NO2+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.33076052552363977,5177,0.2072845216521919,12.729743873696505,7971,0.18615272404768624,7971,-0.12347600387144786,0.021131797604505675,test,own valid rows of the OLS features and the reference
O3,3->5,3,5,ratio_O3+temperature_low_sht45_celsius+humidity_low_sht45_percentage,-0.6154494504712706,6324,-1.9431419412531246,29.74839970555675,7836,-71.90027989207482,7836,-1.327692490781854,69.95713795082169,test,own valid rows of the OLS features and the reference
NO2_alpha,3->5,3,5,no2_mid_alphasense_ug_m3_aan803+temperature_low_sht45_celsius+humidity_low_sht45_percentage,-0.15800206028043884,5185,-0.30367099268859254,15.964032708671235,7829,-0.9087996037155972,7829,-0.1456689324081537,0.6051286110270047,test,own valid rows of the OLS features and the reference
PM2.5,5->3,5,3,pm2_5_low_sps30_ug_m3+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.5728692755903838,3703,0.7438228954891102,3.903899597696229,6144,0.7796317444868134,6144,0.17095361989872637,-0.0358088489977032,test,own valid rows of the OLS features and the reference
CO,5->3,5,3,ratio_CO+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.11024386441240097,7836,-0.13022283046031236,98.08028903208185,6328,0.6470286692044525,6328,-0.24046669487271333,-0.7772514996647648,test,own valid rows of the OLS features and the reference
NO2,5->3,5,3,ratio_NO2+temperature_low_sht45_celsius+humidity_low_sht45_percentage,0.18615272404768624,7971,0.25305860983938455,9.128761471015432,5177,0.33076052552363977,5177,0.06690588579169832,-0.07770191568425522,test,own valid rows of the OLS features and the reference
O3,5->3,5,3,ratio_O3+temperature_low_sht45_celsius+humidity_low_sht45_percentage,-71.90027989207482,7836,-0.7085046264910264,26.231840921048455,6324,-0.6154494504712706,6324,71.1917752655838,-0.09305517601975577,test,own valid rows of the OLS features and the reference
NO2_alpha,5->3,5,3,no2_mid_alphasense_ug_m3_aan803+temperature_low_sht45_celsius+humidity_low_sht45_percentage,-0.9087996037155972,7829,-1.1030805005506514,15.327243053992907,5185,-0.15800206028043884,5185,-0.19428089683505423,-0.9450784402702126,test,own valid rows of the OLS features and the reference
