direction,gas,scenario,selection_rule,model,config,ols_variant,period,R2_local_test,R2_transferred,delta_R2,RMSE_transferred,MAE_transferred,nRMSE_transferred,CEN_transferred,n_obs,n_pred_valid,src_ols_coefs,dest_ols_r2_fit,model_path,notes
N3_to_N5,PM2.5,source-selected,locked_min_val_RMSE,XGBoost,B,source,full,0.7399287183288143,0.429469523173143,-0.31045919515567133,4.133574252136834,3.1492954362335275,44.620821555011844,Marginal,18815.0,18815.0,"{""features"": [""pm2_5_low_sps30_ug_m3"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [0.7009562917099372, -0.037023060841876745, -0.019921520090200425], ""intercept"": 4.678628376045022}",,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,source-selected,locked_min_val_RMSE,XGBoost,B,source,test,0.7399287183288143,0.5593179358646662,-0.1806107824641482,3.9532798768347903,2.8421231525165265,42.59786538610521,Marginal,3701.0,3701.0,"{""features"": [""pm2_5_low_sps30_ug_m3"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [0.7009562917099372, -0.037023060841876745, -0.019921520090200425], ""intercept"": 4.678628376045022}",,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,adapted,locked_min_val_RMSE,XGBoost,B,destination_train,full,0.7399287183288143,0.6030323600093666,-0.1368963583194478,3.4479731218669047,2.4547364588782346,37.21994187421876,Marginal,18815.0,18815.0,,0.6466383884376876,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,adapted,locked_min_val_RMSE,XGBoost,B,destination_train,test,0.7399287183288143,0.6079077994815522,-0.1320209188472622,3.7289707434369173,2.5989535258480485,40.18086214650488,Marginal,3701.0,3701.0,,0.6466383884376876,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,adapted,locked_min_val_RMSE,XGBoost,B,destination_full,full,0.7399287183288143,0.6035517479552581,-0.13637697037355623,3.4457167391576204,2.4428956434190066,37.19558483014758,Marginal,18815.0,18815.0,,,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,adapted,locked_min_val_RMSE,XGBoost,B,destination_full,test,0.7399287183288143,0.6135898767314872,-0.1263388415973271,3.701852600491676,2.5687349728718543,39.88865541217484,Marginal,3701.0,3701.0,,,pm2.5_b_xgboost.joblib,
N3_to_N5,PM2.5,source-selected,v5_parsimony,RF,A,none,full,0.7623878678485154,0.418887487339735,-0.3435003805087804,4.171732304402436,3.1880133864968827,45.03272745948424,Marginal,18815.0,18815.0,,,pm2.5_a_rf.joblib,
N3_to_N5,PM2.5,source-selected,v5_parsimony,RF,A,none,test,0.7623878678485154,0.5407868454851148,-0.22160102236340062,4.035543513101569,2.8663038351894454,43.48428259233385,Marginal,3701.0,3701.0,,,pm2.5_a_rf.joblib,
N3_to_N5,PM2.5,source-selected,max_test_R2,DNN,C,source,full,0.7687409381893722,0.4578398903979791,-0.31090104779139305,4.029278196750997,3.0631864025849125,43.494855824884276,Marginal,18817.0,18817.0,"{""features"": [""pm2_5_low_sps30_ug_m3"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [0.7009562917099372, -0.037023060841876745, -0.019921520090200425], ""intercept"": 4.678628376045022}",,pm2.5_c_dnn.pt,
N3_to_N5,PM2.5,source-selected,max_test_R2,DNN,C,source,test,0.7687409381893722,0.5755025824427562,-0.19323835574661596,3.8789668999491775,2.723537689120648,41.79658508558403,Marginal,3703.0,3703.0,"{""features"": [""pm2_5_low_sps30_ug_m3"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [0.7009562917099372, -0.037023060841876745, -0.019921520090200425], ""intercept"": 4.678628376045022}",,pm2.5_c_dnn.pt,
N3_to_N5,PM2.5,adapted,max_test_R2,DNN,C,destination_train,full,0.7687409381893722,0.6187902232732336,-0.14995071491613854,3.3786677678128205,2.4491141161477965,36.47171038219671,Marginal,18817.0,18817.0,,0.6466383884376876,pm2.5_c_dnn.pt,
N3_to_N5,PM2.5,adapted,max_test_R2,DNN,C,destination_train,test,0.7687409381893722,0.5983833507033567,-0.17035758748601548,3.7729791189331605,2.61720079870891,40.65454716117527,Marginal,3703.0,3703.0,,0.6466383884376876,pm2.5_c_dnn.pt,
N3_to_N5,PM2.5,adapted,max_test_R2,DNN,C,destination_full,full,0.7687409381893722,0.6236287374608931,-0.14511220072847908,3.357157383946373,2.436781123726364,36.239512206909765,Marginal,18817.0,18817.0,,,pm2.5_c_dnn.pt,
N3_to_N5,PM2.5,adapted,max_test_R2,DNN,C,destination_full,test,0.7687409381893722,0.6570444880584396,-0.11169645013093255,3.486562389600265,2.3684584928981813,37.56835397977589,Marginal,3703.0,3703.0,,,pm2.5_c_dnn.pt,
N3_to_N5,CO,source-selected,locked_min_val_RMSE,XGBoost,B,source,full,0.7918024765236453,-0.6196528053968189,-1.4114552819204642,101.20322516851276,86.2616171620343,47.557744963099466,Inaceptable,20485.0,20485.0,"{""features"": [""ratio_CO"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [-412.9036729063256, 4.509169971156889, -0.0026244942731761256], ""intercept"": 415.89086382592893}",,co_b_xgboost.joblib,
N3_to_N5,CO,source-selected,locked_min_val_RMSE,XGBoost,B,source,test,0.7918024765236453,0.019784957603099285,-0.772017518920546,73.34844045106162,61.01784148378899,40.125662474643654,Inaceptable,7094.0,7094.0,"{""features"": [""ratio_CO"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [-412.9036729063256, 4.509169971156889, -0.0026244942731761256], ""intercept"": 415.89086382592893}",,co_b_xgboost.joblib,
N3_to_N5,CO,adapted,locked_min_val_RMSE,XGBoost,B,destination_train,full,0.7918024765236453,0.33862434711386213,-0.4531781294097832,64.67068942047514,47.458511476360115,30.390258303780588,Inaceptable,20485.0,20485.0,,0.1735602032776924,co_b_xgboost.joblib,
N3_to_N5,CO,adapted,locked_min_val_RMSE,XGBoost,B,destination_train,test,0.7918024765236453,0.2137831125945845,-0.5780193639290608,65.69032140088339,45.0458160644557,35.93624688095951,Inaceptable,7094.0,7094.0,,0.1735602032776924,co_b_xgboost.joblib,
N3_to_N5,CO,adapted,locked_min_val_RMSE,XGBoost,B,destination_full,full,0.7918024765236453,0.40899712974439795,-0.3828053467792474,61.1333484727816,44.5618737955644,28.727979672266397,Marginal,20485.0,20485.0,,,co_b_xgboost.joblib,
N3_to_N5,CO,adapted,locked_min_val_RMSE,XGBoost,B,destination_full,test,0.7918024765236453,0.3533922240791101,-0.43841025244453524,59.57316368064373,40.28174642836967,32.58982254695795,Inaceptable,7094.0,7094.0,,,co_b_xgboost.joblib,
N3_to_N5,CO,source-selected,v5_parsimony,DNN,B,source,full,0.8154375065991974,-0.7479630891455242,-1.5634005957447217,105.13553231565925,89.90195699642064,49.405627380968795,Inaceptable,20485.0,20485.0,"{""features"": [""ratio_CO"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [-412.9036729063256, 4.509169971156889, -0.0026244942731761256], ""intercept"": 415.89086382592893}",,co_b_dnn.pt,
N3_to_N5,CO,source-selected,v5_parsimony,DNN,B,source,test,0.8154375065991974,-0.019836121695139042,-0.8352736282943365,74.81615723696545,63.45855159832681,40.92858490895007,Inaceptable,7094.0,7094.0,"{""features"": [""ratio_CO"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [-412.9036729063256, 4.509169971156889, -0.0026244942731761256], ""intercept"": 415.89086382592893}",,co_b_dnn.pt,
N3_to_N5,CO,adapted,v5_parsimony,DNN,B,destination_train,full,0.8154375065991974,0.37040066143625905,-0.4450368451629384,63.09798938337364,47.281224728539016,29.65121004574937,Inaceptable,20485.0,20485.0,,0.1735602032776924,co_b_dnn.pt,
N3_to_N5,CO,adapted,v5_parsimony,DNN,B,destination_train,test,0.8154375065991974,0.24152074048165095,-0.5739167661175465,64.52114377075254,47.46179059519457,35.2966419122508,Inaceptable,7094.0,7094.0,,0.1735602032776924,co_b_dnn.pt,
N3_to_N5,CO,adapted,v5_parsimony,DNN,B,destination_full,full,0.8154375065991974,0.43454850263830325,-0.3808890039608942,59.79723025036669,44.910714172295535,28.10010670125827,Marginal,20485.0,20485.0,,,co_b_dnn.pt,
N3_to_N5,CO,adapted,v5_parsimony,DNN,B,destination_full,test,0.8154375065991974,0.38649002753625183,-0.4289474790629456,58.028456111367554,42.817930042803034,31.744781886711625,Inaceptable,7094.0,7094.0,,,co_b_dnn.pt,
N3_to_N5,CO,source-selected,max_test_R2,LSTM,B,source,full,0.8344571331831266,-0.2999616734773429,-1.1344188066604697,85.30815938356221,70.57905490487462,41.3119723172208,Inaceptable,20485.0,13005.0,"{""features"": [""ratio_CO"", ""temperature_low_sht45_celsius"", ""humidity_low_sht45_percentage""], ""coef"": [-412.9036729063256, 4.509169971156889, -0.0026244942731761256], ""intercept"": 415.89086382592893}",,co_b_lstm_v6.pt,
