gas,month,source,model,config,basis,in_sample,R2,RMSE,n_obs
NO2_alpha,2025-04,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.29289353087083925,9.13309313776133,1298
NO2_alpha,2025-05,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.21122816932681088,9.054803852762749,2548
NO2_alpha,2025-06,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,-0.5764121848106138,7.708292254395821,2373
NO2_alpha,2025-07,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.1755230949250287,8.072647565204582,2653
NO2_alpha,2025-08,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.20905390962153436,7.801026035580999,2595
NO2_alpha,2025-09,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.43813876913539596,8.150850759964992,2568
NO2_alpha,2025-10,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.4462459812905152,7.287567173745256,2871
NO2_alpha,2025-11,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.5141986535390775,6.883283699035013,1386
NO2_alpha,2025-12,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.22635473337704182,8.348107718369873,908
NO2_alpha,2026-01,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.3214310686533506,9.619012345940138,2049
NO2_alpha,2026-02,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,-0.20515977874006253,7.994749835474583,842
NO2_alpha,2025-04,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.33128754048244136,8.881681370170776,1298
NO2_alpha,2025-05,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.3787923136361099,8.03566385454931,2548
NO2_alpha,2025-06,OLS_alphasense,OLS_Alphasense,-,train_only,True,-0.33684105893576555,7.098444132244027,2373
NO2_alpha,2025-07,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.30564309230050557,7.408292569953174,2653
NO2_alpha,2025-08,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.24931983679702707,7.599862858068413,2595
NO2_alpha,2025-09,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.4306681287234866,8.20485964812947,2568
NO2_alpha,2025-10,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.3596535728353155,7.836671112370258,2871
NO2_alpha,2025-11,OLS_alphasense,OLS_Alphasense,-,train_only,False,0.36842290225069496,7.848370544796675,1386
NO2_alpha,2025-12,OLS_alphasense,OLS_Alphasense,-,train_only,False,-0.27473767707995367,10.715872041912313,908
NO2_alpha,2026-01,OLS_alphasense,OLS_Alphasense,-,train_only,False,-0.3261873531670061,13.447326124273115,2049
NO2_alpha,2026-02,OLS_alphasense,OLS_Alphasense,-,train_only,False,-1.475433666958454,11.457983984038346,842
NO2,2025-04,OLS,OLS,-,s6_full_period,True,-1.3699387490767632,15.93657267373212,1316
NO2,2025-05,OLS,OLS,-,s6_full_period,True,0.01734865378619821,9.957541870362446,2889
NO2,2025-06,OLS,OLS,-,s6_full_period,True,-0.19747290046514565,6.959924194316862,2569
NO2,2025-07,OLS,OLS,-,s6_full_period,True,0.3242886449112734,7.271153540678635,2912
NO2,2025-08,OLS,OLS,-,s6_full_period,True,0.2914406383305269,7.256856289519496,2885
NO2,2025-09,OLS,OLS,-,s6_full_period,True,-0.23135292994680934,12.600553200659492,2715
NO2,2025-10,OLS,OLS,-,s6_full_period,True,0.35683912970311293,7.818593392543046,2905
NO2,2025-11,OLS,OLS,-,s6_full_period,False,0.3915496917587369,7.803420022451314,1397
NO2,2025-12,OLS,OLS,-,s6_full_period,False,-1.3872927084866369,14.66789254274111,904
NO2,2026-01,OLS,OLS,-,s6_full_period,False,-0.40942884493176446,13.85443805727084,2041
NO2,2026-02,OLS,OLS,-,s6_full_period,False,-3.6888707740889917,15.719003926656987,835
NO2,2025-04,OLS,OLS,-,train_only,True,0.3368963411635415,8.429796269086005,1316
NO2,2025-05,OLS,OLS,-,train_only,True,0.3852508818901965,7.87592137076528,2889
NO2,2025-06,OLS,OLS,-,train_only,True,-0.11572888717944618,6.7181701852447056,2569
NO2,2025-07,OLS,OLS,-,train_only,True,0.3529406483614661,7.1153253979945115,2912
NO2,2025-08,OLS,OLS,-,train_only,True,0.2624226887979698,7.4039619272446435,2885
NO2,2025-09,OLS,OLS,-,train_only,True,0.5513767894188171,7.6057002932664,2715
NO2,2025-10,OLS,OLS,-,train_only,True,0.25257307168612964,8.428556284938146,2905
NO2,2025-11,OLS,OLS,-,train_only,False,0.6141298669112649,6.214311347172566,1397
NO2,2025-12,OLS,OLS,-,train_only,False,0.21542266620937056,8.408775593285595,904
NO2,2026-01,OLS,OLS,-,train_only,False,0.320471713445317,9.619912181186256,2041
NO2,2026-02,OLS,OLS,-,train_only,False,-0.8134362452608064,9.775568796887356,835
