gas,month,source,model,config,R2,RMSE,n_obs
NO2,2025-04,ML,RF,B,0.9876490374043625,1.1504738980910836,1316
NO2,2025-05,ML,RF,B,0.9831717603631289,1.303082038044022,2889
NO2,2025-06,ML,RF,B,0.9671405316896949,1.1529273147761068,2569
NO2,2025-07,ML,RF,B,0.9749609108556755,1.3996903553442235,2912
NO2,2025-08,ML,RF,B,0.9801527319086998,1.2145370577853556,2885
NO2,2025-09,ML,RF,B,0.9898632635036151,1.1432663391068862,2715
NO2,2025-10,ML,RF,B,0.9868550947220796,1.1177573942328338,2905
NO2,2025-11,ML,RF,B,0.6938501609943001,5.53841732238302,1394
NO2,2025-12,ML,RF,B,0.573062276973165,6.202933834243522,904
NO2,2026-01,ML,RF,B,0.5775326464177488,7.5851454782695935,2041
NO2,2026-02,ML,RF,B,-0.11547669831635066,7.666923710897763,835
NO2,2025-04,OLS,OLS,-,0.33689634116354084,8.429796269086008,1316
NO2,2025-05,OLS,OLS,-,0.38525088189019663,7.875921370765278,2889
NO2,2025-06,OLS,OLS,-,-0.11572888717944552,6.718170185244704,2569
NO2,2025-07,OLS,OLS,-,0.3529406483614662,7.115325397994511,2912
NO2,2025-08,OLS,OLS,-,0.2624226887979698,7.4039619272446435,2885
NO2,2025-09,OLS,OLS,-,0.5513767894188173,7.605700293266399,2715
NO2,2025-10,OLS,OLS,-,0.2525730716861295,8.428556284938148,2905
NO2,2025-11,OLS,OLS,-,0.6141298669112649,6.214311347172566,1397
NO2,2025-12,OLS,OLS,-,0.21542266620936967,8.4087755932856,904
NO2,2026-01,OLS,OLS,-,0.32047171344531633,9.619912181186262,2041
NO2,2026-02,OLS,OLS,-,-0.8134362452608097,9.775568796887365,835
CO,2025-04,ML,XGBoost,B,0.8542792714181491,25.21762928965859,1316
CO,2025-05,ML,XGBoost,B,0.7836617898456602,36.52162683590897,2588
CO,2025-06,ML,XGBoost,B,0.7712900408684332,37.24524429157649,2678
CO,2025-07,ML,XGBoost,B,0.757754815464768,43.27439577120628,2724
CO,2025-08,ML,XGBoost,B,0.7396651032703913,36.20707817961492,2647
CO,2025-09,ML,XGBoost,B,0.9090623605470074,29.53937021787809,2625
CO,2025-10,ML,XGBoost,B,0.9092024729446431,24.351203708240707,2924
CO,2025-11,ML,XGBoost,B,0.543570296061493,50.30916079109135,1388
CO,2025-12,ML,XGBoost,B,0.9278763450480331,24.913978372981557,922
CO,2026-01,ML,XGBoost,B,0.7938395604227739,43.60030450155476,2960
CO,2026-02,ML,XGBoost,B,0.7583982551904944,37.5105745464521,1001
CO,2025-04,OLS,OLS,-,0.6055737331255525,41.84124366997232,1330
CO,2025-05,OLS,OLS,-,0.44186861262482824,58.61131123040692,2610
CO,2025-06,OLS,OLS,-,0.2622032370376882,66.8658642118206,2684
CO,2025-07,OLS,OLS,-,0.48506523518692934,63.08974276791284,2725
CO,2025-08,OLS,OLS,-,0.2874257706129093,59.91921906240476,2670
CO,2025-09,OLS,OLS,-,0.49663467216565815,69.48990439952532,2627
CO,2025-10,OLS,OLS,-,0.6690083349033303,46.47994619093029,2933
CO,2025-11,OLS,OLS,-,0.27057917331464043,63.28048012284329,1418
CO,2025-12,OLS,OLS,-,0.749898272279554,46.41232705113143,926
CO,2026-01,OLS,OLS,-,0.6590235294329704,56.03356173906243,2976
CO,2026-02,OLS,OLS,-,0.6597821676377339,44.478037559172535,1008
O3,2025-04,ML,RF,B,0.9893138285084038,4.190264179148937,1316
O3,2025-05,ML,RF,B,0.9809445771451593,4.796378962979438,2589
O3,2025-06,ML,RF,B,0.9858313497402452,4.920041145856569,2678
O3,2025-07,ML,RF,B,0.9839802043073443,5.261538950855947,2724
O3,2025-08,ML,RF,B,0.9841657522613821,4.747652146519724,2647
O3,2025-09,ML,RF,B,0.9811989305895799,3.5789201819866086,2625
O3,2025-10,ML,RF,B,0.9442635025598398,3.621959132956977,2924
O3,2025-11,ML,RF,B,-0.8565723168799211,34.349100573777996,1388
O3,2025-12,ML,RF,B,0.7770211904658826,8.925430683612158,922
O3,2026-01,ML,RF,B,0.5225663180964077,12.760898085191437,2960
O3,2026-02,ML,RF,B,-0.37551952785982023,18.3665156362994,1001
O3,2025-04,OLS,OLS,-,0.17584231526406346,36.65572636336975,1330
O3,2025-05,OLS,OLS,-,0.32893095765161573,28.351254576224814,2611
O3,2025-06,OLS,OLS,-,0.450789696652071,30.603218645452166,2684
O3,2025-07,OLS,OLS,-,0.3608657272732001,33.22777492125665,2725
O3,2025-08,OLS,OLS,-,0.4163254943262118,28.73222646802171,2670
O3,2025-09,OLS,OLS,-,0.09549919529032658,24.815210639924448,2627
