gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,align_rows_to,n_iter,R2_test_configA_RF
CO,D,RF,17409,6271,9,0.9571690588788305,0.5119793954841837,64.47317772448606,38.48817693822695,-20.0980241295489,46.88519203670632,0.7949675984529105,Marginal,1.8695460546290672,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",co_d_rf.joblib,A,100,0.7524468357593538
CO,D_strict,RF,17409,6271,7,0.3511534872878592,0.03560826677713902,90.63307943440199,62.14038412381665,-19.192782821129924,65.90879314679954,0.28611499062927864,Inaceptable,9.861572018812902,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",co_d_strict_rf.joblib,A,100,0.7524468357593538
CO,S,RF,17409,6271,3,0.5022964094809315,0.5987278584376797,58.462785213234405,42.54669634253182,-28.600192289625728,42.51440689702812,0.8623327615629657,Marginal,0.8389394320010823,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 5}",co_s_rf.joblib,A,100,0.7524468357593538
CO,S1,RF,17409,6271,1,0.2835590110589339,0.33810194229355306,75.08540888638154,49.61615701518837,-38.18087796614177,54.602455455761024,0.8430321034342899,Inaceptable,0.8386790360782284,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",co_s1_rf.joblib,A,100,0.7524468357593538
NO2,D,RF,18181,5174,9,0.7736598693010497,0.3349053112300162,8.614105434650904,6.140502050426142,-4.803654936394947,44.65775922438884,0.7570851006895,Inaceptable,2.3100853983461986,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 10}",no2_d_rf.joblib,A,100,0.5451589244595302
NO2,D_strict,RF,18181,5174,7,0.25169144953915845,-0.16973000764740087,11.423817563461784,8.248843504523519,-5.804648348684389,59.22403644146893,0.4688032377201583,Inaceptable,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5}",no2_d_strict_rf.joblib,A,100,0.5451589244595302
NO2,S,RF,18181,5174,3,0.5193513017308324,0.21919632524344035,9.33338901511613,6.791268565206003,-5.419606104382804,48.38671206739222,0.7266702572813418,Inaceptable,2.369343104424943,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5}",no2_s_rf.joblib,A,100,0.5451589244595302
NO2,S1,RF,18181,5174,1,0.4391754380022094,0.22646692165802118,9.289832601518855,6.965841394432584,-5.553229621443347,48.16090430988782,0.7091471900179683,Inaceptable,1.9392476163269043,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5}",no2_s1_rf.joblib,A,100,0.5451589244595302
PM2.5,D,RF,16848,6144,8,0.38488470933355656,-0.24992330326096646,8.623233894002878,5.5287048939346946,-4.666523018910509,87.32676618551785,0.4422232236466251,Inaceptable,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 5}",pm2.5_d_rf.joblib,A,100,0.7623878678485154
PM2.5,D_strict,RF,16848,6144,7,0.17830592958212355,-0.34341132546617414,8.939906693385366,5.7231334955254995,-4.536932186276943,90.53368505712822,0.07557939770484258,Inaceptable,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",pm2.5_d_strict_rf.joblib,A,100,0.7623878678485154
PM2.5,S,RF,16848,6144,2,0.6517823787546602,0.7632890610200171,3.752646429133414,2.7067508265368687,0.06630703539260678,38.00273555397346,0.8748135069527394,Marginal,0.8539129040885957,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5}",pm2.5_s_rf.joblib,A,100,0.7623878678485154
PM2.5,S1,RF,16848,6144,1,0.6483528049664264,0.7660186328107595,3.7309473510454483,2.697725466348397,0.02094850666401482,37.7829908106531,0.8760567575321463,Marginal,0.846392995151331,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5}",pm2.5_s1_rf.joblib,A,100,0.7623878678485154
