gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,n_scored_train,n_scored_test,search_minutes,status,protocol,original_R2_test,original_best_params
PM2.5,A,LSTM,16848,6144,10,0.7700491900820333,0.7492773073629578,3.9055096159595672,2.7519988370480513,-0.5297521824217112,39.718473201413055,0.8735434922529668,Marginal,1.0277225568090151,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_a_lstm_v6.pt,11573.0,5664.0,12.1,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.7275910692592438,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
PM2.5,B,LSTM,16848,6144,11,0.7743971651820587,0.7566964933923002,3.8472913310977748,2.7136960011291302,-0.3398175938528473,39.12640158605558,0.8766342702604417,Marginal,1.0233920362316016,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 64, 'epochs': 200, 'dropout': 0.2, 'batch_size': 64}",pm2.5_b_lstm_v6.pt,11573.0,5664.0,12.2,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.737137739572526,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
PM2.5,C,LSTM,16848,6144,8,0.7704490612693299,0.7352315645971711,4.013414305479334,2.8417831820325326,-0.0028233803640314416,40.81584843292806,0.8624039991249733,Marginal,1.0478998704189941,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",pm2.5_c_lstm_v6.pt,11573.0,5664.0,13.6,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.727214876229475,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,A,LSTM,17409,6271,12,0.8048856481475517,0.46707000433035395,65.88023147067166,49.91080755032629,-46.071028550653175,46.10659292138538,0.8722145499740968,Marginal,1.7232655505281904,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",co_a_lstm_v6.pt,8520.0,5263.0,17.0,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.3473835538733794,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,B,LSTM,17409,6271,13,0.9392725356653583,0.8344571331831266,36.71768315283758,24.7127977677695,-4.325272024095379,25.697044961020577,0.9148859384319259,Aceptable,1.1256090916047443,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",co_b_lstm_v6.pt,8520.0,5263.0,16.4,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.4560631385633545,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,C,LSTM,17484,6328,8,0.9159675403376646,0.6575222455753422,52.34202713705972,34.2081513086058,-16.188341361542783,38.34938105125162,0.8382251904209171,Marginal,1.3930593930493997,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",co_c_lstm_v6.pt,8708.0,5765.0,15.2,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.730090274119011,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,A,LSTM,18181,5174,12,,,,,,,,,,,,,,0.0,not_scorable,v6: masked RMSE scorer + timestamps carried in X,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,B,LSTM,18100,5174,13,,,,,,,,,,,,,,0.0,not_scorable,v6: masked RMSE scorer + timestamps carried in X,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,C,LSTM,18100,5177,8,,,,,,,,,,,,,,0.0,not_scorable,v6: masked RMSE scorer + timestamps carried in X,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
O3,A,LSTM,17410,6271,12,0.9508389933930419,0.13865227778025102,17.694511915961808,13.421590198375833,11.379583954320251,127.47165030638385,0.708726589931102,Inaceptable,6.857723570181946,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",o3_a_lstm_v6.pt,8520.0,5263.0,14.2,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.2328994161884511,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
