gas,month,source,model,config,R2,n_obs
NO2,2025-04,OLS_alphasense,OLS_Alphasense,-,0.4919134114121635,1412
NO2,2025-05,OLS_alphasense,OLS_Alphasense,-,0.2558048957608169,2881
NO2,2025-06,OLS_alphasense,OLS_Alphasense,-,0.1723006880075441,2832
NO2,2025-07,OLS_alphasense,OLS_Alphasense,-,0.2628689058463785,2836
NO2,2025-08,OLS_alphasense,OLS_Alphasense,-,0.1057592449332888,2869
NO2,2025-09,OLS_alphasense,OLS_Alphasense,-,0.3571361883702436,1718
NO2,2025-10,OLS_alphasense,OLS_Alphasense,-,0.4608361490713928,980
NO2,2025-11,OLS_alphasense,OLS_Alphasense,-,0.358932052624718,2369
NO2,2025-12,OLS_alphasense,OLS_Alphasense,-,0.0960912569224472,1503
NO2,2026-01,OLS_alphasense,OLS_Alphasense,-,0.1666533002856965,2916
NO2,2026-02,OLS_alphasense,OLS_Alphasense,-,-0.5043516072659282,1041
