r2,rmse,nrmse,mae,mbe,pearson_r,nivel,n,mean_ref,mean_est,gas,nivel_costo,metodo,referencia,col_estimado,col_referencia,basis
0.0531,13.61,64.1,11.52,6.48,0.5189,Inaceptable,7829,,,NO2,Mid-cost,Cal. parámetros de fábrica (AAN-803-05),no2_high_met_one_ug_m3,no2_mid_alphasense_ug_m3_aan803,no2_high_met_one_ug_m3,intersection_test_v6
-0.9088,19.32,91.0,14.93,-14.49,0.4059,Inaceptable,7829,,,NO2,Mid-cost OLS,"OLS colocalización (Alphasense NO₂-B43F), solo entrenamiento",no2_high_met_one_ug_m3,c_hat_ols_NO2_alpha,no2_high_met_one_ug_m3,intersection_test_v6
-533471.6082,10590.97,48109.4,7722.7,7721.54,0.7225,Inaceptable,7255,,,NO2,Low-cost curvas fab.,Curva fabricante GM-102B,no2_high_met_one_ug_m3,no2_low_mgsv2_ug_m3_curvas_fabricante,no2_high_met_one_ug_m3,intersection_test_v6
0.1827,13.11,59.5,9.57,-6.19,0.6067,Inaceptable,7255,,,NO2,Low-cost OLS,"OLS colocalización, solo entrenamiento",no2_high_met_one_ug_m3,c_hat_ols_NO2,no2_high_met_one_ug_m3,intersection_test_v6
-349.7999,1387.59,759.1,1222.15,1222.15,0.6161,Inaceptable,7094,,,CO,Low-cost curvas fab.,Curva fabricante GM-702B,co_mid_alphasense_ug_m3_aan803,co_low_mgsv2_ug_m3_curvas_fabricante,co_mid_alphasense_ug_m3_aan803,intersection_test_v6
0.0882,70.74,38.7,47.7,-19.98,0.405,Inaceptable,7094,,,CO,Low-cost OLS,"OLS colocalización, solo entrenamiento",co_mid_alphasense_ug_m3_aan803,c_hat_ols_CO,co_mid_alphasense_ug_m3_aan803,intersection_test_v6
-2121.8096,809.89,2550.0,344.64,331.49,0.0285,Inaceptable,7094,,,O3,Low-cost curvas fab.,Curva fabricante MQ131,o3_mid_alphasense_ug_m3_aan803,o3_low_mq131_ug_m3_curvas_fabricante,o3_mid_alphasense_ug_m3_aan803,intersection_test_v6
-76.9912,155.24,488.8,86.77,-79.79,-0.0775,Inaceptable,7094,,,O3,Low-cost OLS,"OLS colocalización, solo entrenamiento",o3_mid_alphasense_ug_m3_aan803,c_hat_ols_O3,o3_mid_alphasense_ug_m3_aan803,intersection_test_v6
0.1873,5.37,57.8,4.15,-0.81,0.7849,Inaceptable,3701,,,PM2.5,Low-cost (cal. fabricante),Calibración del fabricante,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,pm2_5_high_met_one_ug_m3,intersection_test_v6
0.5729,3.89,41.9,2.71,1.01,0.8012,Marginal,3701,,,PM2.5,Low-cost OLS,"OLS colocalización, solo entrenamiento",pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,pm2_5_high_met_one_ug_m3,intersection_test_v6
