gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
NO2_alpha,A,RF,15528,7829,8,0.9115160834472665,-0.06187327038537083,14.407709794018281,10.270916421151572,-8.019257829157597,67.88837455401955,0.5276496460074466,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': None}",no2_alpha_a_rf.joblib
NO2_alpha,A,LightGBM,15528,7829,8,0.6914765517048083,-0.22445021031028656,15.471384262576063,11.13890889431941,-9.545244440476687,72.90035298483016,0.5122237695624097,Inaceptable,,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_a_lightgbm.joblib
NO2_alpha,A,DNN,15528,7829,8,0.6978584824626868,-0.09952693644740851,14.660930817388339,10.405582338579924,-8.261534318608454,69.08153876438114,0.5309219078373828,Inaceptable,,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 128, 'epochs': 300, 'dropout': 0.3, 'batch_size': 128}",no2_alpha_a_dnn.pt
NO2_alpha,B,RF,15528,7829,9,0.8556011862850702,-0.25333171495211704,15.652785088777671,11.186736913928787,-9.821609125852476,73.75510418468403,0.5040035648512996,Inaceptable,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 10}",no2_alpha_b_rf.joblib
NO2_alpha,B,LightGBM,15528,7829,9,0.7067870142754209,-0.2296388506970215,15.50412981070794,11.12471561273962,-9.75966464924418,73.05464829396226,0.5371370392503737,Inaceptable,,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_b_lightgbm.joblib
NO2_alpha,B,DNN,15528,7829,9,0.6819432605058791,-0.22630764307633244,15.483114492966275,10.972438564244504,-9.578749658455717,72.95562521655337,0.5514515595696753,Inaceptable,,"{'lr': 0.001, 'hidden_dim_2': 32, 'hidden_dim_1': 32, 'epochs': 300, 'dropout': 0.3, 'batch_size': 32}",no2_alpha_b_dnn.pt
NO2_alpha,C,RF,15528,7829,8,0.8538716807651654,-0.424571623114244,16.687864021512944,11.968607656657586,-11.027737649304258,78.63234194718262,0.4570638594289016,Inaceptable,,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 10}",no2_alpha_c_rf.joblib
NO2_alpha,C,LightGBM,15528,7829,8,0.6982804262172706,-0.4503654772883574,16.838264786931294,12.164228870502969,-11.005712178769208,79.34102248294491,0.4330847989164457,Inaceptable,,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_c_lightgbm.joblib
NO2_alpha,C,DNN,15528,7829,8,0.6841414274199626,-0.1873924285772579,15.235466108320557,10.784649441729167,-9.235132545949186,71.78871898822923,0.5513959896474583,Inaceptable,,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",no2_alpha_c_dnn.pt
NO2_alpha,A,XGBoost,15528,7829,8,0.7201136376851947,-0.2141022344817496,15.405870288733244,11.092522506566016,-9.587923602349672,72.59165456861066,0.5199908555968695,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",no2_alpha_a_xgboost.joblib
NO2_alpha,B,XGBoost,15528,7829,9,0.7029745038319981,-0.22239140697550996,15.458371917194254,11.06176104057732,-9.723332079496249,72.83903949436319,0.5437669490988857,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_b_xgboost.joblib
NO2_alpha,C,XGBoost,15528,7829,8,0.7076583750869264,-0.4790467836550243,17.003939983715995,12.253670449560822,-11.371151378179423,80.12167533995208,0.47060722583120823,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_c_xgboost.joblib
